Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
MU;3201001;Boa Esperança (ES);869;Hectares;-;Hectares
MU;3201100;Bom Jesus do Norte (ES);24;Hectares;-;Hectares
MU;3201159;Brejetuba (ES);670;Hectares;-;Hectares
MU;3201209;Cachoeiro de Itapemirim (ES);720;Hectares;-;Hectares
MU;3201308;Cariacica (ES);269;Hectares;-;Hectares
MU;3201407;Castelo (ES);641;Hectares;-;Hectares
MU;3201506;Colatina (ES);544;Hectares;-;Hectares
MU;3201605;Conceição da Barra (ES);7863;Hectares;-;Hectares
MU;3201704;Conceição do Castelo (ES);245;Hectares;-;Hectares
MU;3201803;Divino de São Lourenço (ES);190;Hectares;-;Hectares
MU;3201902;Domingos Martins (ES);1326;Hectares;-;Hectares
MU;3202009;Dores do Rio Preto (ES);1950;Hectares;-;Hectares
MU;3202108;Ecoporanga (ES);83;Hectares;-;Hectares
MU;3202207;Fundão (ES);145;Hectares;-;Hectares
MU;3202256;Governador Lindenberg (ES);105;Hectares;-;Hectares
MU;3202306;Guaçuí (ES);1660;Hectares;-;Hectares
MU;3202405;Guarapari (ES);260;Hectares;-;Hectares
MU;3202454;Ibatiba (ES);1180;Hectares;-;Hectares
MU;3202504;Ibiraçu (ES);430;Hectares;-;Hectares
MU;3202553;Ibitirama (ES);1100;Hectares;-;Hectares
MU;3202603;Iconha (ES);80;Hectares;-;Hectares
MU;3202652;Irupi (ES);736;Hectares;-;Hectares
MU;3202702;Itaguaçu (ES);92;Hectares;-;Hectares
MU;3202801;Itapemirim (ES);7064;Hectares;-;Hectares
MU;3202900;Itarana (ES);319;Hectares;-;Hectares
MU;3203007;Iúna (ES);792;Hectares;-;Hectares
MU;3203056;Jaguaré (ES);150;Hectares;-;Hectares
MU;3203106;Jerônimo Monteiro (ES);30;Hectares;-;Hectares
MU;3203130;João Neiva (ES);79;Hectares;-;Hectares
MU;3203163;Laranja da Terra (ES);277;Hectares;-;Hectares
MU;3203205;Linhares (ES);11673;Hectares;-;Hectares
MU;3203304;Mantenópolis (ES);153;Hectares;-;Hectares
MU;3203320;Marataízes (ES);3421;Hectares;-;Hectares
MU;3203346;Marechal Floriano (ES);315;Hectares;-;Hectares
MU;3203353;Marilândia (ES);123;Hectares;-;Hectares
MU;3203403;Mimoso do Sul (ES);150;Hectares;-;Hectares
MU;3203502;Montanha (ES);2406;Hectares;-;Hectares
MU;3203601;Mucurici (ES);1287;Hectares;-;Hectares
MU;3203700;Muniz Freire (ES);1210;Hectares;-;Hectares
MU;3203809;Muqui (ES);395;Hectares;-;Hectares
MU;3203908;Nova Venécia (ES);323;Hectares;-;Hectares
MU;3204005;Pancas (ES);162;Hectares;-;Hectares
MU;3204054;Pedro Canário (ES);4543;Hectares;-;Hectares
MU;3204104;Pinheiros (ES);8284;Hectares;-;Hectares
MU;3204203;Piúma (ES);22;Hectares;-;Hectares
MU;3204252;Ponto Belo (ES);358;Hectares;-;Hectares
MU;3204302;Presidente Kennedy (ES);2000;Hectares;-;Hectares
MU;3204351;Rio Bananal (ES);310;Hectares;-;Hectares
MU;3204401;Rio Novo do Sul (ES);140;Hectares;-;Hectares
MU;3204500;Santa Leopoldina (ES);759;Hectares;-;Hectares
MU;3204559;Santa Maria de Jetibá (ES);4460;Hectares;-;Hectares
MU;3204609;Santa Teresa (ES);532;Hectares;-;Hectares
MU;3204658;São Domingos do Norte (ES);46;Hectares;-;Hectares
MU;3204708;São Gabriel da Palha (ES);115;Hectares;-;Hectares
MU;3204807;São José do Calçado (ES);320;Hectares;-;Hectares
MU;3204906;São Mateus (ES);2545;Hectares;-;Hectares
MU;3204955;São Roque do Canaã (ES);242;Hectares;-;Hectares
MU;3205002;Serra (ES);25;Hectares;-;Hectares
MU;3205010;Sooretama (ES);290;Hectares;-;Hectares
MU;3205036;Vargem Alta (ES);316;Hectares;-;Hectares
MU;3205069;Venda Nova do Imigrante (ES);376;Hectares;-;Hectares
MU;3205101;Viana (ES);277;Hectares;-;Hectares
MU;3205150;Vila Pavão (ES);75;Hectares;-;Hectares
MU;3205176;Vila Valério (ES);300;Hectares;-;Hectares
MU;3205200;Vila Velha (ES);121;Hectares;-;Hectares
MU;3205309;Vitória (ES);...;Hectares;...;Hectares
MU;3300100;Angra dos Reis (RJ);39;Hectares;-;Hectares
MU;3300159;Aperibé (RJ);27;Hectares;-;Hectares
MU;3300209;Araruama (RJ);3833;Hectares;-;Hectares
MU;3300225;Areal (RJ);7;Hectares;-;Hectares
MU;3300233;Armação dos Búzios (RJ);3;Hectares;-;Hectares
MU;3300308;Barra do Piraí (RJ);13;Hectares;-;Hectares
MU;3300407;Barra Mansa (RJ);137;Hectares;-;Hectares
MU;3300456;Belford Roxo (RJ);...;Hectares;...;Hectares
MU;3300506;Bom Jardim (RJ);685;Hectares;-;Hectares
MU;3300605;Bom Jesus do Itabapoana (RJ);78;Hectares;-;Hectares
MU;3300704;Cabo Frio (RJ);2950;Hectares;-;Hectares
MU;3300803;Cachoeiras de Macacu (RJ);1251;Hectares;-;Hectares
MU;3300902;Cambuci (RJ);527;Hectares;-;Hectares
MU;3300936;Carapebus (RJ);71;Hectares;-;Hectares
MU;3300951;Comendador Levy Gasparian (RJ);6;Hectares;-;Hectares
MU;3301009;Campos dos Goytacazes (RJ);31058;Hectares;-;Hectares
MU;3301108;Cantagalo (RJ);38;Hectares;-;Hectares
MU;3301157;Cardoso Moreira (RJ);160;Hectares;-;Hectares
MU;3301207;Carmo (RJ);19;Hectares;-;Hectares
MU;3301306;Casimiro de Abreu (RJ);262;Hectares;-;Hectares
MU;3301405;Conceição de Macabu (RJ);63;Hectares;-;Hectares
MU;3301504;Cordeiro (RJ);34;Hectares;-;Hectares
MU;3301603;Duas Barras (RJ);132;Hectares;-;Hectares
MU;3301702;Duque de Caxias (RJ);425;Hectares;-;Hectares
MU;3301801;Engenheiro Paulo de Frontin (RJ);5;Hectares;-;Hectares
MU;3301850;Guapimirim (RJ);318;Hectares;-;Hectares
MU;3301876;Iguaba Grande (RJ);31;Hectares;-;Hectares
MU;3301900;Itaboraí (RJ);23;Hectares;-;Hectares
MU;3302007;Itaguaí (RJ);162;Hectares;-;Hectares
MU;3302056;Italva (RJ);508;Hectares;-;Hectares
MU;3302106;Itaocara (RJ);382;Hectares;-;Hectares
MU;3302205;Itaperuna (RJ);77;Hectares;-;Hectares
MU;3302254;Itatiaia (RJ);...;Hectares;...;Hectares
MU;3302270;Japeri (RJ);355;Hectares;-;Hectares
MU;3302304;Laje do Muriaé (RJ);2;Hectares;-;Hectares
MU;3302403;Macaé (RJ);957;Hectares;-;Hectares
MU;3302452;Macuco (RJ);2;Hectares;-;Hectares
MU;3302502;Magé (RJ);525;Hectares;-;Hectares
MU;3302601;Mangaratiba (RJ);42;Hectares;-;Hectares
MU;3302700;Maricá (RJ);4;Hectares;-;Hectares
MU;3302809;Mendes (RJ);5;Hectares;-;Hectares
MU;3302858;Mesquita (RJ);...;Hectares;...;Hectares
MU;3302908;Miguel Pereira (RJ);11;Hectares;-;Hectares
MU;3303005;Miracema (RJ);45;Hectares;-;Hectares
MU;3303104;Natividade (RJ);17;Hectares;-;Hectares
MU;3303302;Niterói (RJ);...;Hectares;...;Hectares
MU;3303401;Nova Friburgo (RJ);327;Hectares;-;Hectares
MU;3303500;Nova Iguaçu (RJ);184;Hectares;-;Hectares
MU;3303609;Paracambi (RJ);42;Hectares;-;Hectares
MU;3303708;Paraíba do Sul (RJ);82;Hectares;-;Hectares
MU;3303807;Paraty (RJ);54;Hectares;-;Hectares
MU;3303856;Paty do Alferes (RJ);121;Hectares;-;Hectares
MU;3303906;Petrópolis (RJ);33;Hectares;-;Hectares
MU;3303955;Pinheiral (RJ);13;Hectares;-;Hectares
MU;3304003;Piraí (RJ);34;Hectares;-;Hectares
MU;3304102;Porciúncula (RJ);280;Hectares;-;Hectares
MU;3304110;Porto Real (RJ);150;Hectares;-;Hectares
MU;3304128;Quatis (RJ);40;Hectares;-;Hectares
MU;3304144;Queimados (RJ);99;Hectares;-;Hectares
MU;3304151;Quissamã (RJ);870;Hectares;-;Hectares
MU;3304201;Resende (RJ);11;Hectares;-;Hectares
MU;3304300;Rio Bonito (RJ);317;Hectares;-;Hectares
MU;3304409;Rio Claro (RJ);115;Hectares;-;Hectares
MU;3304508;Rio das Flores (RJ);26;Hectares;-;Hectares
MU;3304524;Rio das Ostras (RJ);97;Hectares;-;Hectares
MU;3304557;Rio de Janeiro (RJ);1341;Hectares;-;Hectares
MU;3304607;Santa Maria Madalena (RJ);51;Hectares;-;Hectares
MU;3304706;Santo Antônio de Pádua (RJ);114;Hectares;-;Hectares
MU;3304755;São Francisco de Itabapoana (RJ);24258;Hectares;-;Hectares
MU;3304805;São Fidélis (RJ);203;Hectares;-;Hectares
MU;3304904;São Gonçalo (RJ);105;Hectares;-;Hectares
MU;3305000;São João da Barra (RJ);405;Hectares;-;Hectares
MU;3305133;São José de Ubá (RJ);470;Hectares;-;Hectares
MU;3305158;São José do Vale do Rio Preto (RJ);137;Hectares;-;Hectares
MU;3305208;São Pedro da Aldeia (RJ);788;Hectares;-;Hectares
MU;3305307;São Sebastião do Alto (RJ);215;Hectares;-;Hectares
MU;3305406;Sapucaia (RJ);145;Hectares;-;Hectares
MU;3305505;Saquarema (RJ);62;Hectares;-;Hectares
MU;3305554;Seropédica (RJ);211;Hectares;-;Hectares
MU;3305604;Silva Jardim (RJ);675;Hectares;-;Hectares
MU;3305703;Sumidouro (RJ);132;Hectares;-;Hectares
MU;3305752;Tanguá (RJ);207;Hectares;-;Hectares
MU;3305802;Teresópolis (RJ);16;Hectares;-;Hectares
MU;3305901;Trajano de Moraes (RJ);264;Hectares;-;Hectares
MU;3306008;Três Rios (RJ);14;Hectares;-;Hectares
MU;3306107;Valença (RJ);110;Hectares;-;Hectares
MU;3306156;Varre-Sai (RJ);569;Hectares;-;Hectares
MU;3306206;Vassouras (RJ);87;Hectares;-;Hectares
MU;3306305;Volta Redonda (RJ);39;Hectares;-;Hectares
MU;3500105;Adamantina (SP);13627;Hectares;400;Hectares
MU;3500204;Adolfo (SP);8539;Hectares;694;Hectares
MU;3500303;Aguaí (SP);20755;Hectares;3000;Hectares
MU;3500402;Águas da Prata (SP);830;Hectares;-;Hectares
MU;3500501;Águas de Lindóia (SP);56;Hectares;-;Hectares
MU;3500550;Águas de Santa Bárbara (SP);21550;Hectares;8000;Hectares
MU;3500600;Águas de São Pedro (SP);...;Hectares;...;Hectares
MU;3500709;Agudos (SP);15770;Hectares;695;Hectares
MU;3500758;Alambari (SP);4660;Hectares;1500;Hectares
MU;3500808;Alfredo Marcondes (SP);390;Hectares;-;Hectares
MU;3500907;Altair (SP);13428;Hectares;300;Hectares
MU;3501004;Altinópolis (SP);27910;Hectares;2100;Hectares
MU;3501103;Alto Alegre (SP);17050;Hectares;-;Hectares
MU;3501152;Alumínio (SP);271;Hectares;-;Hectares
MU;3501202;Álvares Florence (SP);10442;Hectares;680;Hectares
MU;3501301;Álvares Machado (SP);890;Hectares;-;Hectares
MU;3501400;Álvaro de Carvalho (SP);73;Hectares;-;Hectares
MU;3501509;Alvinlândia (SP);941;Hectares;300;Hectares
MU;3501608;Americana (SP);2110;Hectares;-;Hectares
MU;3501707;Américo Brasiliense (SP);8601;Hectares;-;Hectares
MU;3501806;Américo de Campos (SP);8125;Hectares;425;Hectares
MU;3501905;Amparo (SP);3154;Hectares;-;Hectares
MU;3502002;Analândia (SP);10724;Hectares;544;Hectares
MU;3502101;Andradina (SP);42129;Hectares;30;Hectares
MU;3502200;Angatuba (SP);17967;Hectares;7500;Hectares
MU;3502309;Anhembi (SP);12703;Hectares;-;Hectares
MU;3502408;Anhumas (SP);10510;Hectares;400;Hectares
MU;3502507;Aparecida (SP);260;Hectares;-;Hectares
MU;3502606;Aparecida d'Oeste (SP);1765;Hectares;-;Hectares
MU;3502705;Apiaí (SP);7362;Hectares;1200;Hectares
MU;3502754;Araçariguama (SP);166;Hectares;-;Hectares
MU;3502804;Araçatuba (SP);50327;Hectares;7400;Hectares
MU;3502903;Araçoiaba da Serra (SP);3497;Hectares;1000;Hectares
MU;3503000;Aramina (SP);14263;Hectares;1916;Hectares
MU;3503109;Arandu (SP);11300;Hectares;7000;Hectares
MU;3503158;Arapeí (SP);95;Hectares;-;Hectares
MU;3503208;Araraquara (SP);41495;Hectares;2000;Hectares
MU;3503307;Araras (SP);36300;Hectares;2000;Hectares
MU;3503356;Arco-Íris (SP);4982;Hectares;-;Hectares
MU;3503406;Arealva (SP);10397;Hectares;776;Hectares
MU;3503505;Areias (SP);130;Hectares;-;Hectares
MU;3503604;Areiópolis (SP);8030;Hectares;-;Hectares
MU;3503703;Ariranha (SP);8880;Hectares;80;Hectares
MU;3503802;Artur Nogueira (SP);6463;Hectares;100;Hectares
MU;3503901;Arujá (SP);...;Hectares;...;Hectares
MU;3503950;Aspásia (SP);821;Hectares;-;Hectares
MU;3504008;Assis (SP);30628;Hectares;9000;Hectares
MU;3504107;Atibaia (SP);2589;Hectares;800;Hectares
MU;3504206;Auriflama (SP);7653;Hectares;220;Hectares
MU;3504305;Avaí (SP);1994;Hectares;-;Hectares
MU;3504404;Avanhandava (SP);26752;Hectares;550;Hectares
MU;3504503;Avaré (SP);31190;Hectares;11000;Hectares
MU;3504602;Bady Bassitt (SP);3555;Hectares;100;Hectares
MU;3504701;Balbinos (SP);5276;Hectares;-;Hectares
MU;3504800;Bálsamo (SP);7400;Hectares;400;Hectares
MU;3504909;Bananal (SP);137;Hectares;-;Hectares
MU;3505005;Barão de Antonina (SP);5417;Hectares;4000;Hectares
MU;3505104;Barbosa (SP);14375;Hectares;170;Hectares
MU;3505203;Bariri (SP);24973;Hectares;1200;Hectares
MU;3505302;Barra Bonita (SP);8513;Hectares;50;Hectares
MU;3505351;Barra do Chapéu (SP);939;Hectares;-;Hectares
MU;3505401;Barra do Turvo (SP);383;Hectares;-;Hectares
MU;3505500;Barretos (SP);77929;Hectares;4500;Hectares
MU;3505609;Barrinha (SP);11033;Hectares;83;Hectares
MU;3505708;Barueri (SP);...;Hectares;...;Hectares
MU;3505807;Bastos (SP);2010;Hectares;-;Hectares
MU;3505906;Batatais (SP);51045;Hectares;3800;Hectares
MU;3506003;Bauru (SP);2312;Hectares;64;Hectares
MU;3506102;Bebedouro (SP);43112;Hectares;2150;Hectares
MU;3506201;Bento de Abreu (SP);17230;Hectares;840;Hectares
MU;3506300;Bernardino de Campos (SP);11860;Hectares;3500;Hectares
MU;3506359;Bertioga (SP);...;Hectares;...;Hectares
MU;3506409;Bilac (SP);11001;Hectares;2589;Hectares
MU;3506508;Birigui (SP);32914;Hectares;12891;Hectares
MU;3506607;Biritiba Mirim (SP);32;Hectares;-;Hectares
MU;3506706;Boa Esperança do Sul (SP);36090;Hectares;350;Hectares
MU;3506805;Bocaina (SP);17124;Hectares;383;Hectares
MU;3506904;Bofete (SP);560;Hectares;-;Hectares
MU;3507001;Boituva (SP);7020;Hectares;600;Hectares
MU;3507100;Bom Jesus dos Perdões (SP);39;Hectares;-;Hectares
MU;3507159;Bom Sucesso de Itararé (SP);141;Hectares;-;Hectares
MU;3507209;Borá (SP);5883;Hectares;40;Hectares
MU;3507308;Boracéia (SP);7750;Hectares;324;Hectares
MU;3507407;Borborema (SP);33743;Hectares;498;Hectares
MU;3507456;Borebi (SP);4315;Hectares;555;Hectares
MU;3507506;Botucatu (SP);29837;Hectares;2314;Hectares
MU;3507605;Bragança Paulista (SP);5059;Hectares;500;Hectares
MU;3507704;Braúna (SP);9148;Hectares;930;Hectares
MU;3507753;Brejo Alegre (SP);7142;Hectares;2800;Hectares
MU;3507803;Brodowski (SP);15144;Hectares;350;Hectares
MU;3507902;Brotas (SP);36204;Hectares;1139;Hectares
MU;3508009;Buri (SP);44372;Hectares;21000;Hectares
MU;3508108;Buritama (SP);10522;Hectares;490;Hectares
MU;3508207;Buritizal (SP);13785;Hectares;1600;Hectares
MU;3508306;Cabrália Paulista (SP);1012;Hectares;-;Hectares
MU;3508405;Cabreúva (SP);150;Hectares;-;Hectares
MU;3508504;Caçapava (SP);3440;Hectares;-;Hectares
MU;3508603;Cachoeira Paulista (SP);211;Hectares;-;Hectares
MU;3508702;Caconde (SP);1072;Hectares;120;Hectares
MU;3508801;Cafelândia (SP);34268;Hectares;595;Hectares
MU;3508900;Caiabu (SP);6537;Hectares;-;Hectares
MU;3509007;Caieiras (SP);1;Hectares;-;Hectares
MU;3509106;Caiuá (SP);5488;Hectares;-;Hectares
MU;3509205;Cajamar (SP);1;Hectares;-;Hectares
MU;3509254;Cajati (SP);59;Hectares;-;Hectares
MU;3509304;Cajobi (SP);8395;Hectares;38;Hectares
MU;3509403;Cajuru (SP);24026;Hectares;300;Hectares
MU;3509452;Campina do Monte Alegre (SP);11933;Hectares;4000;Hectares
MU;3509502;Campinas (SP);2823;Hectares;800;Hectares
MU;3509601;Campo Limpo Paulista (SP);...;Hectares;...;Hectares
MU;3509700;Campos do Jordão (SP);2;Hectares;-;Hectares
MU;3509809;Campos Novos Paulista (SP);45901;Hectares;13800;Hectares
MU;3509908;Cananéia (SP);135;Hectares;-;Hectares
MU;3509957;Canas (SP);400;Hectares;-;Hectares
MU;3510005;Cândido Mota (SP);69650;Hectares;25600;Hectares
MU;3510104;Cândido Rodrigues (SP);2691;Hectares;15;Hectares
MU;3510153;Canitar (SP);5100;Hectares;1750;Hectares
MU;3510203;Capão Bonito (SP);47600;Hectares;19000;Hectares
MU;3510302;Capela do Alto (SP);3122;Hectares;700;Hectares
MU;3510401;Capivari (SP);23246;Hectares;30;Hectares
MU;3510500;Caraguatatuba (SP);18;Hectares;-;Hectares
MU;3510609;Carapicuíba (SP);...;Hectares;...;Hectares
MU;3510708;Cardoso (SP);22519;Hectares;3123;Hectares
MU;3510807;Casa Branca (SP);44690;Hectares;9800;Hectares
MU;3510906;Cássia dos Coqueiros (SP);2424;Hectares;-;Hectares
MU;3511003;Castilho (SP);41470;Hectares;2000;Hectares
MU;3511102;Catanduva (SP);15826;Hectares;110;Hectares
MU;3511201;Catiguá (SP);8622;Hectares;-;Hectares
MU;3511300;Cedral (SP);5988;Hectares;40;Hectares
MU;3511409;Cerqueira César (SP);29700;Hectares;9500;Hectares
MU;3511508;Cerquilho (SP);6482;Hectares;700;Hectares
MU;3511607;Cesário Lange (SP);14986;Hectares;750;Hectares
MU;3511706;Charqueada (SP);9653;Hectares;-;Hectares
MU;3511904;Clementina (SP);7496;Hectares;520;Hectares
MU;3512001;Colina (SP);27730;Hectares;1250;Hectares
MU;3512100;Colômbia (SP);42106;Hectares;880;Hectares
MU;3512209;Conchal (SP);8755;Hectares;1200;Hectares
MU;3512308;Conchas (SP);3163;Hectares;245;Hectares
MU;3512407;Cordeirópolis (SP);11099;Hectares;260;Hectares
MU;3512506;Coroados (SP);17276;Hectares;3800;Hectares
MU;3512605;Coronel Macedo (SP);21001;Hectares;8500;Hectares
MU;3512704;Corumbataí (SP);4361;Hectares;200;Hectares
MU;3512803;Cosmópolis (SP);6880;Hectares;140;Hectares
MU;3512902;Cosmorama (SP);17672;Hectares;520;Hectares
MU;3513009;Cotia (SP);...;Hectares;...;Hectares
MU;3513108;Cravinhos (SP);22420;Hectares;-;Hectares
MU;3513207;Cristais Paulista (SP);7350;Hectares;600;Hectares
MU;3513306;Cruzália (SP);19469;Hectares;7750;Hectares
MU;3513405;Cruzeiro (SP);238;Hectares;-;Hectares
MU;3513504;Cubatão (SP);...;Hectares;...;Hectares
MU;3513603;Cunha (SP);966;Hectares;-;Hectares
MU;3513702;Descalvado (SP);29195;Hectares;-;Hectares
MU;3513850;Dirce Reis (SP);2060;Hectares;-;Hectares
MU;3513900;Divinolândia (SP);1690;Hectares;30;Hectares
MU;3514007;Dobrada (SP);10806;Hectares;160;Hectares
MU;3514106;Dois Córregos (SP);36946;Hectares;432;Hectares
MU;3514205;Dolcinópolis (SP);26481;Hectares;-;Hectares
MU;3514304;Dourado (SP);5981;Hectares;250;Hectares
MU;3514403;Dracena (SP);17596;Hectares;-;Hectares
MU;3514502;Duartina (SP);204;Hectares;-;Hectares
MU;3514601;Dumont (SP);9777;Hectares;270;Hectares
MU;3514700;Echaporã (SP);12419;Hectares;3200;Hectares
MU;3514809;Eldorado (SP);133;Hectares;-;Hectares
MU;3514908;Elias Fausto (SP);7830;Hectares;200;Hectares
MU;3514924;Elisiário (SP);6378;Hectares;185;Hectares
MU;3514957;Embaúba (SP);6446;Hectares;14;Hectares
MU;3515004;Embu das Artes (SP);...;Hectares;...;Hectares
MU;3515103;Embu-Guaçu (SP);7;Hectares;-;Hectares
MU;3515129;Emilianópolis (SP);6065;Hectares;750;Hectares
MU;3515152;Engenheiro Coelho (SP);5141;Hectares;600;Hectares
MU;3515186;Espírito Santo do Pinhal (SP);2962;Hectares;-;Hectares
MU;3515194;Espírito Santo do Turvo (SP);3414;Hectares;450;Hectares
MU;3515202;Estrela d'Oeste (SP);9050;Hectares;320;Hectares
MU;3515301;Estrela do Norte (SP);6380;Hectares;80;Hectares
MU;3515350;Euclides da Cunha Paulista (SP);8141;Hectares;600;Hectares
MU;3515400;Fartura (SP);8130;Hectares;3000;Hectares
MU;3515509;Fernandópolis (SP);17780;Hectares;200;Hectares
MU;3515608;Fernando Prestes (SP);10285;Hectares;70;Hectares
MU;3515657;Fernão (SP);486;Hectares;-;Hectares
MU;3515707;Ferraz de Vasconcelos (SP);...;Hectares;...;Hectares
MU;3515806;Flora Rica (SP);5334;Hectares;350;Hectares
MU;3515905;Floreal (SP);3370;Hectares;120;Hectares
MU;3516002;Flórida Paulista (SP);19162;Hectares;250;Hectares
MU;3516101;Florínea (SP);22694;Hectares;7550;Hectares
MU;3516200;Franca (SP);3550;Hectares;1000;Hectares
MU;3516309;Francisco Morato (SP);...;Hectares;...;Hectares
MU;3516408;Franco da Rocha (SP);20;Hectares;-;Hectares
MU;3516507;Gabriel Monteiro (SP);6787;Hectares;320;Hectares
MU;3516606;Gália (SP);2391;Hectares;800;Hectares
MU;3516705;Garça (SP);4041;Hectares;500;Hectares
MU;3516804;Gastão Vidigal (SP);5874;Hectares;363;Hectares
MU;3516853;Gavião Peixoto (SP);8822;Hectares;1400;Hectares
MU;3516903;General Salgado (SP);16273;Hectares;600;Hectares
MU;3517000;Getulina (SP);22000;Hectares;600;Hectares
MU;3517109;Glicério (SP);15133;Hectares;2050;Hectares
MU;3517208;Guaiçara (SP);7908;Hectares;225;Hectares
MU;3517307;Guaimbê (SP);3752;Hectares;-;Hectares
MU;3517406;Guaíra (SP);106300;Hectares;22500;Hectares
MU;3517505;Guapiaçu (SP);15367;Hectares;1300;Hectares
MU;3517604;Guapiara (SP);11830;Hectares;4500;Hectares
MU;3517703;Guará (SP);27890;Hectares;4218;Hectares
MU;3517802;Guaraçaí (SP);26972;Hectares;-;Hectares
MU;3517901;Guaraci (SP);42546;Hectares;1450;Hectares
MU;3518008;Guarani d'Oeste (SP);1865;Hectares;30;Hectares
MU;3518107;Guarantã (SP);11194;Hectares;60;Hectares
MU;3518206;Guararapes (SP);56765;Hectares;5360;Hectares
MU;3518305;Guararema (SP);171;Hectares;-;Hectares
MU;3518404;Guaratinguetá (SP);2385;Hectares;70;Hectares
MU;3518503;Guareí (SP);4957;Hectares;1000;Hectares
MU;3518602;Guariba (SP);23204;Hectares;1320;Hectares
MU;3518701;Guarujá (SP);3;Hectares;-;Hectares
MU;3518800;Guarulhos (SP);...;Hectares;...;Hectares
MU;3518859;Guatapará (SP);26399;Hectares;37;Hectares
MU;3518909;Guzolândia (SP);4090;Hectares;600;Hectares
MU;3519006;Herculândia (SP);17136;Hectares;240;Hectares
MU;3519055;Holambra (SP);1713;Hectares;600;Hectares
MU;3519071;Hortolândia (SP);...;Hectares;...;Hectares
MU;3519105;Iacanga (SP);22469;Hectares;2000;Hectares
MU;3519204;Iacri (SP);5495;Hectares;-;Hectares
MU;3519253;Iaras (SP);8610;Hectares;2173;Hectares
MU;3519303;Ibaté (SP);15289;Hectares;25;Hectares
MU;3519402;Ibirá (SP);13930;Hectares;450;Hectares
MU;3519501;Ibirarema (SP);24965;Hectares;11130;Hectares
MU;3519600;Ibitinga (SP);37140;Hectares;2000;Hectares
MU;3519709;Ibiúna (SP);4097;Hectares;250;Hectares
MU;3519808;Icém (SP);10627;Hectares;107;Hectares
MU;3519907;Iepê (SP);31326;Hectares;10805;Hectares
MU;3520004;Igaraçu do Tietê (SP);6889;Hectares;-;Hectares
MU;3520103;Igarapava (SP);27805;Hectares;2190;Hectares
MU;3520202;Igaratá (SP);1;Hectares;-;Hectares
MU;3520301;Iguape (SP);2242;Hectares;-;Hectares
MU;3520400;Ilhabela (SP);...;Hectares;...;Hectares
MU;3520442;Ilha Solteira (SP);21557;Hectares;392;Hectares
MU;3520509;Indaiatuba (SP);3973;Hectares;350;Hectares
MU;3520608;Indiana (SP);395;Hectares;-;Hectares
MU;3520707;Indiaporã (SP);6590;Hectares;890;Hectares
MU;3520806;Inúbia Paulista (SP);3082;Hectares;280;Hectares
MU;3520905;Ipaussu (SP);15805;Hectares;1300;Hectares
MU;3521002;Iperó (SP);1747;Hectares;115;Hectares
MU;3521101;Ipeúna (SP);5227;Hectares;-;Hectares
MU;3521150;Ipiguá (SP);3007;Hectares;110;Hectares
MU;3521200;Iporanga (SP);369;Hectares;-;Hectares
MU;3521309;Ipuã (SP);40781;Hectares;9986;Hectares
MU;3521408;Iracemápolis (SP);8234;Hectares;520;Hectares
MU;3521507;Irapuã (SP);11736;Hectares;220;Hectares
MU;3521606;Irapuru (SP);4893;Hectares;100;Hectares
MU;3521705;Itaberá (SP);84663;Hectares;41000;Hectares
MU;3521804;Itaí (SP);69500;Hectares;15000;Hectares
MU;3521903;Itajobi (SP);25440;Hectares;-;Hectares
MU;3522000;Itaju (SP);8666;Hectares;380;Hectares
MU;3522109;Itanhaém (SP);20;Hectares;-;Hectares
MU;3522158;Itaoca (SP);153;Hectares;-;Hectares
MU;3522208;Itapecerica da Serra (SP);...;Hectares;...;Hectares
MU;3522307;Itapetininga (SP);49550;Hectares;23000;Hectares
MU;3522406;Itapeva (SP);177257;Hectares;81000;Hectares
MU;3522505;Itapevi (SP);...;Hectares;...;Hectares
MU;3522604;Itapira (SP);7995;Hectares;540;Hectares
MU;3522653;Itapirapuã Paulista (SP);129;Hectares;-;Hectares
MU;3522703;Itápolis (SP);43050;Hectares;3500;Hectares
MU;3522802;Itaporanga (SP);17056;Hectares;9750;Hectares
MU;3522901;Itapuí (SP);9133;Hectares;97;Hectares
MU;3523008;Itapura (SP);15539;Hectares;1505;Hectares
MU;3523107;Itaquaquecetuba (SP);...;Hectares;...;Hectares
MU;3523206;Itararé (SP);45605;Hectares;20000;Hectares
MU;3523305;Itariri (SP);45;Hectares;-;Hectares
MU;3523404;Itatiba (SP);1456;Hectares;60;Hectares
MU;3523503;Itatinga (SP);10550;Hectares;1480;Hectares
MU;3523602;Itirapina (SP);8160;Hectares;300;Hectares
MU;3523701;Itirapuã (SP);1070;Hectares;50;Hectares
MU;3523800;Itobi (SP);6280;Hectares;1000;Hectares
MU;3523909;Itu (SP);2705;Hectares;120;Hectares
MU;3524006;Itupeva (SP);191;Hectares;-;Hectares
MU;3524105;Ituverava (SP);58663;Hectares;8407;Hectares
MU;3524204;Jaborandi (SP);22938;Hectares;2065;Hectares
MU;3524303;Jaboticabal (SP);67265;Hectares;3670;Hectares
MU;3524402;Jacareí (SP);22;Hectares;-;Hectares
