Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;
Variável - Área plantada;;;;;;
Nível;Cód.;Brasil e Município;Ano x Produto das lavouras temporárias;;;
;;;2019;;;
;;;Total;;Soja (em grão);
MU;1304203;Tefé (AM);8562;Hectares;-;Hectares
MU;1304237;Tonantins (AM);316;Hectares;-;Hectares
MU;1304260;Uarini (AM);6289;Hectares;-;Hectares
MU;1304302;Urucará (AM);558;Hectares;-;Hectares
MU;1304401;Urucurituba (AM);183;Hectares;-;Hectares
MU;1400027;Amajari (RR);1410;Hectares;-;Hectares
MU;1400050;Alto Alegre (RR);18060;Hectares;15000;Hectares
MU;1400100;Boa Vista (RR);7300;Hectares;5500;Hectares
MU;1400159;Bonfim (RR);22920;Hectares;10000;Hectares
MU;1400175;Cantá (RR);3270;Hectares;600;Hectares
MU;1400209;Caracaraí (RR);725;Hectares;-;Hectares
MU;1400233;Caroebe (RR);515;Hectares;-;Hectares
MU;1400282;Iracema (RR);684;Hectares;330;Hectares
MU;1400308;Mucajaí (RR);925;Hectares;300;Hectares
MU;1400407;Normandia (RR);4960;Hectares;-;Hectares
MU;1400456;Pacaraima (RR);512;Hectares;-;Hectares
MU;1400472;Rorainópolis (RR);667;Hectares;-;Hectares
MU;1400506;São João da Baliza (RR);47;Hectares;-;Hectares
MU;1400605;São Luiz (RR);62;Hectares;-;Hectares
MU;1400704;Uiramutã (RR);1408;Hectares;-;Hectares
MU;1500107;Abaetetuba (PA);2840;Hectares;-;Hectares
MU;1500131;Abel Figueiredo (PA);4512;Hectares;4000;Hectares
MU;1500206;Acará (PA);18450;Hectares;-;Hectares
MU;1500305;Afuá (PA);110;Hectares;-;Hectares
MU;1500347;Água Azul do Norte (PA);5582;Hectares;530;Hectares
MU;1500404;Alenquer (PA);11720;Hectares;-;Hectares
MU;1500503;Almeirim (PA);405;Hectares;-;Hectares
MU;1500602;Altamira (PA);29208;Hectares;15000;Hectares
MU;1500701;Anajás (PA);330;Hectares;-;Hectares
MU;1500800;Ananindeua (PA);...;Hectares;...;Hectares
MU;1500859;Anapu (PA);1285;Hectares;-;Hectares
MU;1500909;Augusto Corrêa (PA);2506;Hectares;-;Hectares
MU;1500958;Aurora do Pará (PA);2322;Hectares;-;Hectares
MU;1501006;Aveiro (PA);2184;Hectares;-;Hectares
MU;1501105;Bagre (PA);1310;Hectares;-;Hectares
MU;1501204;Baião (PA);10250;Hectares;-;Hectares
MU;1501253;Bannach (PA);147;Hectares;-;Hectares
MU;1501303;Barcarena (PA);1940;Hectares;-;Hectares
MU;1501402;Belém (PA);...;Hectares;...;Hectares
MU;1501451;Belterra (PA);22213;Hectares;13851;Hectares
MU;1501501;Benevides (PA);...;Hectares;...;Hectares
MU;1501576;Bom Jesus do Tocantins (PA);1083;Hectares;-;Hectares
MU;1501600;Bonito (PA);770;Hectares;-;Hectares
MU;1501709;Bragança (PA);7045;Hectares;-;Hectares
MU;1501725;Brasil Novo (PA);434;Hectares;-;Hectares
MU;1501758;Brejo Grande do Araguaia (PA);1295;Hectares;500;Hectares
MU;1501782;Breu Branco (PA);425;Hectares;-;Hectares
MU;1501808;Breves (PA);364;Hectares;-;Hectares
MU;1501907;Bujaru (PA);1290;Hectares;-;Hectares
MU;1501956;Cachoeira do Piriá (PA);2931;Hectares;-;Hectares
MU;1502004;Cachoeira do Arari (PA);6430;Hectares;-;Hectares
MU;1502103;Cametá (PA);7710;Hectares;-;Hectares
MU;1502152;Canaã dos Carajás (PA);6478;Hectares;-;Hectares
MU;1502202;Capanema (PA);7002;Hectares;-;Hectares
MU;1502301;Capitão Poço (PA);6250;Hectares;-;Hectares
MU;1502400;Castanhal (PA);4880;Hectares;-;Hectares
MU;1502509;Chaves (PA);100;Hectares;-;Hectares
MU;1502608;Colares (PA);395;Hectares;-;Hectares
MU;1502707;Conceição do Araguaia (PA);5972;Hectares;3372;Hectares
MU;1502756;Concórdia do Pará (PA);2729;Hectares;-;Hectares
MU;1502764;Cumaru do Norte (PA);24958;Hectares;12220;Hectares
MU;1502772;Curionópolis (PA);3100;Hectares;-;Hectares
MU;1502806;Curralinho (PA);460;Hectares;-;Hectares
MU;1502855;Curuá (PA);257;Hectares;-;Hectares
